flight_date,departure.iata,departure.terminal,departure.gate,departure.scheduled,arrival.iata,arrival.terminal,arrival.scheduled,airline.iata,terminal_distance_m,terminal_walk_time_min,terminal_transport_method,connection_time_min,arrival_delay_min,scheduled_flight_min,departure_hour,day_of_week,risk_label,transport_friction,is_cross_airport,is_intl_hub,is_major_airport,is_peak_hour,terminal_change,has_delay_info,security_crowd,immigration_crowd,walking_time_min,security_time_min,immigration_time_min,congestion_time_min,baggage_time_min
0,15,13,240,67,22,0,316,112,1500,8,2,70.0,19.0,970.0,16,6,0,2,1,0,0,0,1,1,2,2,8,20.0,0.0,8,10
1,14,1,436,301,20,22,406,167,1800,7,4,121.0,1.0,210.0,10,0,2,1,1,1,1,1,1,1,0,0,7,30.0,45.0,15,10
0,24,8,97,66,134,6,86,37,700,4,2,123.0,27.0,193.0,15,6,1,2,1,1,1,0,1,1,0,0,4,30.0,45.0,8,10
1,20,24,116,305,451,27,378,13,500,6,33,87.0,43.0,75.0,11,0,0,1,1,0,0,0,1,1,2,2,6,20.0,0.0,8,10
1,5,0,68,312,69,27,408,97,4000,15,19,101.0,9.0,160.0,11,0,2,3,1,0,0,0,1,1,2,2,15,20.0,0.0,8,10
1,39,5,401,351,305,2,446,158,3000,12,23,93.0,23.0,120.0,15,0,1,3,1,0,0,0,1,1,2,2,12,20.0,0.0,8,10
1,49,24,172,282,394,6,338,116,500,6,33,90.0,39.0,45.0,9,0,0,1,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10
0,38,0,232,121,107,17,158,55,700,8,18,90.0,0.0,172.0,20,6,2,3,1,1,1,1,1,1,0,0,8,30.0,45.0,15,10
1,34,6,100,358,306,27,448,55,400,5,33,93.0,43.0,95.0,15,0,0,1,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10
1,34,6,83,361,83,2,475,13,400,5,33,112.0,8.0,200.0,15,0,2,1,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10
0,38,5,418,177,316,27,190,54,500,6,33,66.0,22.0,106.0,22,6,0,1,1,1,1,0,1,1,2,2,6,20.0,30.0,3,10
0,38,24,436,67,244,27,310,83,2000,10,19,82.0,2.0,900.0,16,6,2,3,1,1,1,0,1,1,0,0,10,30.0,45.0,8,10
1,25,12,151,298,60,12,368,37,600,7,13,114.0,5.0,80.0,10,0,2,1,1,0,0,1,1,1,0,0,7,30.0,0.0,15,10
1,10,0,28,317,152,0,411,97,3500,15,19,103.0,3.0,150.0,12,0,2,3,1,0,0,0,0,1,2,2,15,20.0,0.0,8,10
0,17,1,40,218,338,2,236,29,800,6,33,67.0,17.0,145.0,23,6,0,1,1,0,0,0,0,1,1,1,6,16.0,0.0,3,10
0,48,0,313,45,471,19,59,189,1200,5,7,108.0,3.0,124.0,14,6,2,2,1,0,0,0,1,1,2,0,5,20.0,0.0,8,10
1,22,0,436,365,350,0,449,126,15900,23,0,120.0,13.0,65.0,16,0,2,3,1,0,0,0,0,1,2,2,23,20.0,0.0,8,10
1,25,11,153,278,282,14,343,173,600,7,13,86.0,35.0,70.0,8,0,0,1,1,0,0,1,1,1,0,0,7,30.0,0.0,15,10
1,22,1,341,357,138,18,445,113,900,5,25,89.0,37.0,85.0,15,0,0,2,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10
1,42,5,436,292,201,0,367,166,2000,8,19,69.0,13.0,105.0,10,0,1,3,1,0,0,1,1,1,0,0,8,30.0,0.0,15,10
0,27,0,280,168,124,7,203,201,400,5,33,88.0,37.0,160.0,21,6,0,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10
0,33,12,120,64,243,15,81,51,800,5,6,96.0,9.0,163.0,15,6,2,2,1,0,0,0,1,1,0,2,5,30.0,0.0,8,10
